<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.08	12:36:00	1.16526	1.16527	1.16510	1.16517	39	0	1
2025.12.08	12:37:00	1.16516	1.16516	1.16504	1.16507	14	0	1
2025.12.08	12:38:00	1.16508	1.16511	1.16502	1.16506	34	0	1
2025.12.08	12:39:00	1.16505	1.16507	1.16495	1.16501	34	0	1
2025.12.08	12:40:00	1.16500	1.16513	1.16500	1.16513	9	0	1
2025.12.08	12:41:00	1.16513	1.16514	1.16507	1.16509	26	0	1
2025.12.08	12:42:00	1.16510	1.16519	1.16510	1.16518	12	0	1
2025.12.08	12:43:00	1.16518	1.16518	1.16508	1.16511	16	0	1
2025.12.08	12:44:00	1.16509	1.16510	1.16485	1.16490	53	0	1
2025.12.08	12:45:00	1.16491	1.16503	1.16489	1.16503	49	0	1
2025.12.08	12:46:00	1.16507	1.16508	1.16479	1.16488	62	0	1
2025.12.08	12:47:00	1.16487	1.16508	1.16486	1.16504	58	0	1
2025.12.08	12:48:00	1.16504	1.16509	1.16499	1.16504	32	0	1
2025.12.08	12:49:00	1.16503	1.16519	1.16503	1.16514	43	0	1
2025.12.08	12:50:00	1.16515	1.16523	1.16507	1.16518	61	0	1
2025.12.08	12:51:00	1.16517	1.16517	1.16500	1.16501	24	0	1
2025.12.08	12:52:00	1.16501	1.16524	1.16501	1.16523	33	0	1
2025.12.08	12:53:00	1.16523	1.16530	1.16518	1.16519	30	0	1
2025.12.08	12:54:00	1.16518	1.16523	1.16485	1.16492	55	0	1
2025.12.08	12:55:00	1.16488	1.16514	1.16484	1.16508	64	0	1
2025.12.08	12:56:00	1.16509	1.16513	1.16503	1.16508	42	0	1
2025.12.08	12:57:00	1.16507	1.16519	1.16502	1.16510	33	0	1
2025.12.08	12:58:00	1.16509	1.16516	1.16505	1.16507	43	0	1
2025.12.08	12:59:00	1.16508	1.16508	1.16502	1.16506	23	0	1
2025.12.08	13:00:00	1.16505	1.16514	1.16504	1.16510	30	0	1
2025.12.08	13:01:00	1.16511	1.16511	1.16490	1.16491	48	0	1
2025.12.08	13:02:00	1.16489	1.16498	1.16481	1.16489	61	0	1
2025.12.08	13:03:00	1.16488	1.16499	1.16486	1.16499	58	0	1
2025.12.08	13:04:00	1.16498	1.16499	1.16485	1.16487	57	0	1
2025.12.08	13:05:00	1.16488	1.16488	1.16468	1.16472	121	0	1
2025.12.08	13:06:00	1.16472	1.16487	1.16465	1.16486	73	0	1
2025.12.08	13:07:00	1.16486	1.16489	1.16479	1.16487	38	0	1
2025.12.08	13:08:00	1.16485	1.16510	1.16480	1.16504	45	0	1
2025.12.08	13:09:00	1.16504	1.16517	1.16504	1.16506	51	0	1
2025.12.08	13:10:00	1.16507	1.16518	1.16504	1.16516	59	0	1
2025.12.08	13:11:00	1.16516	1.16521	1.16510	1.16511	51	0	1
2025.12.08	13:12:00	1.16512	1.16518	1.16512	1.16514	34	0	1
2025.12.08	13:13:00	1.16515	1.16524	1.16514	1.16522	35	0	1
2025.12.08	13:14:00	1.16523	1.16530	1.16523	1.16525	35	0	1
2025.12.08	13:15:00	1.16523	1.16538	1.16521	1.16534	46	0	1
2025.12.08	13:16:00	1.16536	1.16536	1.16527	1.16530	41	0	1
2025.12.08	13:17:00	1.16529	1.16529	1.16513	1.16516	43	0	1
2025.12.08	13:18:00	1.16515	1.16520	1.16501	1.16504	35	0	1
2025.12.08	13:19:00	1.16504	1.16505	1.16498	1.16505	47	0	1
2025.12.08	13:20:00	1.16503	1.16504	1.16488	1.16494	30	0	1
2025.12.08	13:21:00	1.16494	1.16499	1.16491	1.16494	16	0	1
2025.12.08	13:22:00	1.16493	1.16493	1.16475	1.16481	28	0	1
2025.12.08	13:23:00	1.16480	1.16480	1.16470	1.16474	45	0	1
2025.12.08	13:24:00	1.16479	1.16489	1.16477	1.16488	60	0	1
2025.12.08	13:25:00	1.16488	1.16489	1.16484	1.16488	29	0	1
2025.12.08	13:26:00	1.16487	1.16503	1.16484	1.16502	30	0	1
2025.12.08	13:27:00	1.16498	1.16503	1.16490	1.16491	50	0	1
2025.12.08	13:28:00	1.16490	1.16498	1.16486	1.16497	48	0	1
2025.12.08	13:29:00	1.16496	1.16496	1.16483	1.16493	51	0	1
2025.12.08	13:30:00	1.16494	1.16505	1.16494	1.16503	43	0	1
2025.12.08	13:31:00	1.16503	1.16508	1.16495	1.16507	55	0	1
2025.12.08	13:32:00	1.16506	1.16511	1.16500	1.16503	48	0	1
2025.12.08	13:33:00	1.16502	1.16510	1.16498	1.16510	31	0	1
2025.12.08	13:34:00	1.16510	1.16512	1.16499	1.16504	39	0	1
2025.12.08	13:35:00	1.16503	1.16515	1.16502	1.16511	17	0	1
2025.12.08	13:36:00	1.16511	1.16521	1.16509	1.16512	48	0	1
2025.12.08	13:37:00	1.16511	1.16516	1.16505	1.16511	36	0	1
2025.12.08	13:38:00	1.16511	1.16520	1.16511	1.16519	45	0	1
2025.12.08	13:39:00	1.16518	1.16529	1.16518	1.16524	54	0	1
2025.12.08	13:40:00	1.16528	1.16533	1.16523	1.16525	22	0	1
2025.12.08	13:41:00	1.16526	1.16532	1.16510	1.16522	48	0	1
2025.12.08	13:42:00	1.16523	1.16528	1.16518	1.16527	39	0	1
2025.12.08	13:43:00	1.16530	1.16530	1.16516	1.16518	39	0	1
2025.12.08	13:44:00	1.16517	1.16525	1.16513	1.16520	34	0	1
2025.12.08	13:45:00	1.16521	1.16522	1.16514	1.16520	41	0	1
2025.12.08	13:46:00	1.16519	1.16519	1.16502	1.16507	47	0	1
2025.12.08	13:47:00	1.16508	1.16519	1.16503	1.16518	36	0	1
2025.12.08	13:48:00	1.16517	1.16521	1.16514	1.16520	21	0	1
2025.12.08	13:49:00	1.16519	1.16521	1.16500	1.16502	38	0	1
2025.12.08	13:50:00	1.16500	1.16513	1.16499	1.16505	32	0	1
2025.12.08	13:51:00	1.16501	1.16510	1.16492	1.16503	38	0	1
2025.12.08	13:52:00	1.16502	1.16507	1.16499	1.16500	31	0	1
2025.12.08	13:53:00	1.16500	1.16505	1.16495	1.16502	35	0	1
2025.12.08	13:54:00	1.16501	1.16505	1.16493	1.16495	43	0	1
2025.12.08	13:55:00	1.16496	1.16503	1.16494	1.16500	35	0	1
2025.12.08	13:56:00	1.16499	1.16501	1.16483	1.16489	44	0	1
2025.12.08	13:57:00	1.16491	1.16521	1.16486	1.16521	40	0	1
2025.12.08	13:58:00	1.16519	1.16534	1.16516	1.16524	48	0	1
2025.12.08	13:59:00	1.16523	1.16524	1.16501	1.16506	65	0	1
2025.12.08	14:00:00	1.16505	1.16521	1.16497	1.16519	70	0	0
2025.12.08	14:01:00	1.16518	1.16526	1.16514	1.16525	57	0	0
2025.12.08	14:02:00	1.16525	1.16533	1.16522	1.16533	49	0	0
2025.12.08	14:03:00	1.16534	1.16537	1.16525	1.16529	25	0	0
2025.12.08	14:04:00	1.16529	1.16529	1.16505	1.16510	41	0	0
2025.12.08	14:05:00	1.16510	1.16521	1.16510	1.16513	43	0	0
2025.12.08	14:06:00	1.16515	1.16523	1.16509	1.16523	44	0	0
2025.12.08	14:07:00	1.16523	1.16526	1.16492	1.16499	54	0	0
2025.12.08	14:08:00	1.16504	1.16510	1.16497	1.16498	44	0	0
2025.12.08	14:09:00	1.16499	1.16499	1.16476	1.16492	46	0	0
